,text_employer,category,pred
3152,добрый_день клиентский_менеджер_сбербанк звонить организация_индивидуальный_предприниматель верно просить прощение иметь отношение дать организация данный номер указать карточка клиент представитель относиться просить прощение относиться дать организация окончание диалог удалить номер_телефон карточка клиент просить прощение запрет доставить неудобство добрый хороший день,Открытие банковского счета,Бизнес-карта
3170,добрый_день просить прощение звать лев сбербанк блок сбер бизнес звонить организация_индивидуальный_предприниматель никакой образ относиться неактуальный указать правильно понимать понять просить прощение беспокойство хороший день свидание,Эквайринг,Бизнес-карта
3184,добрый_день звонить индивидуальный организация иметь отношение обращаться э персональный_менеджер бизнес сказать удобно сбер сбербанк_бизнес сколь хотеть уточнить э зарплата эквайринг обсудить продуктовый предложение эквайринг информация требоваться дополнительный терминал ваш торговый точка понять контакт направить городской номер потребоваться оформить услуга возникнуть вопрос обращаться большинство услуга смочь подключить дистанционно сэкономить рада помочь свидание,Зарплатные проекты,Эквайринг
3190,добрый_день звать сбербанк_клиентский_менеджер блок сбер бизнес звонить организация ооо горизонт удобно разговаривать предложение новый сервис послать система сбер предлагать рассмотреть открытие счёт бесплатный обслуживание доступ к существующий мой будущее сервис личный_кабинет сбер бизнес сказать актуально ознакомиться установленный услуга уточнить связь рассматривать обратно клиент рада сотрудничать будущее решиться сравнить тариф текущий услуга ваш банк обращаться наш сайт информация представить смочь помочь открытие счёт необходимость уделить свидание,Зарплатные проекты,Открытие банковского счета
3194,виктория перезванивать сбербанк хотеть уточнить перезвонить сказать течение какой период позвонить перезвонить хотеть перенаправить профиль подразделение банк поехать банк поехать путь заехать самый вечером перезвонить уточнить банк ответить кредитный_карта пропасть хороший дорога добрый свидание,Бизнес-карта,Открытие банковского счета
3213,добрый_день сбер бизнес разговаривать сказать сказать удобно перевести линия коллега оставаться линия переводить прощаться желать хороший день добрый ожидать сбербанк_бизнес здравствуйте тариф самоинкассация понять дать наименование мочь озвучить наименование слушать пакет_услуга подключить счёт знать лёгкий старт набирать оборот полный вход называться уверить запросить дать дополнительный проверить уверенный лёгкий старт озвучить комиссия алтайский край бийск верно минута приём зачисление наличный счёт устройство самообслуживание самоинкассация рамка лёгкий старт сумма тариф сумма правильно озвучить верификация уверить лёгкий старт комиссия сайт ознакомиться остаться вопрос,Бизнес-карта,Открытие банковского счета
3225,здравствуйте звать обращаться лёгкий стартовый называться лёгкий старт просить прощение перебивать озвучить организация далее минута специальный технология верно перечислять платёжный поручение действовать стандартный тариф зависимость зарплата платёж операция называться пин код счёт физический_лицо месяц процент половина свыше рамка зарплатный_проект комиссия понизить процент никакой способ сэкономить комиссия пояснить понимать хотеть лимит накапливаться течение месяц месяц переводить денежный_средство пример хотеть перевести мочь находиться например диапазон наоборот зависеть перевести месяц случай платёж пройти комиссия переключить линия операционный поддержка подробно объяснять посмотреть платёж хотеть переключить оставаться линия прощаться соединять операционист сбербанк здравствуйте наименование организация название наименование организация обращаться извинить перебить слушать честно сказать данный случай система пример допустить месяц насчитать физический_лицо переводить пример рассказать попробовать объяснить понятно месяц переводить пример допустить переводить физический_лицо комиссия данный платёж взиматься процент разделить платёж платёж номер комиссия целый процент второй комиссия процент уточнять система разделять платёж сумма система автоматически разделять самостоятельно учитывать сумма который месяц перевести переводить порог пример прям перевести перевести сформировать один платёж общий месяц комиссия отец делить платёж сумма комиссия процент целый процент система сожаление автоматически разделяться обращение ваш вопрос добрый свидание оставаться линия оценка качество,Открытие банковского счета,Зарплатные проекты
3242,добрый_день здравствуйте звонить индивидуальный_предприниматель персональный_менеджер надежда сбербанк удобно услуга банк рекомендовать хотеть рассказать знать сложность отмечать вопрос другой продукт услуга отправить контакт дальнейший потребоваться консультация почта контакт отправить уделить добрый свидание давать уточнить,Бизнес-карта,Зарплатные проекты
3261,добрый_день звать виктория клиентский_менеджер сбербанк сбер бизнес звонить организация удобно разговаривать диалог очередь хотеть поблагодарить выбрать сбербанк озвучить ваш организация назначить отдалить персональный_менеджер напомнить звать виктория контактный дать направлять вид смс сообщение номер понятно формирование платёжный поручение использование будущее возникнуть вопрос звонить номер мобильный линия обслуживание корпоративный клиент почта направленный письмо ссылка раздел сайт работа расчётный счёт список основный контакт информация продублировать информация прийти вид смс сообщение заполнить сбербанк стремиться максимальный полезно удобно мочь рекомендовать полезный сервис ответить вопрос какой крупный положение бизнес потребовать дополнительный финансирование сторона банк близкий код возможно рассматривать кредитование сбербанк понадобиться услуга доставка либо грузоперевозка планировать набирать сотрудник ваш организация близкий какой образ половина какой образ выйти ввести бухгалтерия сдавать отчётность налоговый бухгалтер подобрать хороший такой случай благодарить ваш ответ хотеть уточнить деятельность предполагать использование касса новый образец передавать налоговый юридический_лицо работать хороший информация внести ваш система целое организация иметь хозяйственный либо командировочный_расход возможно потребность снятие наличный расчётный счёт хотеть сообщить кратко курс сбер условие бизнес_карта позволять круглосуточно вносить снимать наличный расчётный счёт основный преимущество карта оплата ежедневный покупка нужда ваш бизнес объяснять наличный уплата комиссия_банка поручение кэшбэк оформить виртуальный парта потребовать посещение офис доступный использование ваш смартфон стоимость один рубль вариант помесячно оплата рубль хотеть уточнить предложение интересный такой случай рассмотреть будущее пример возможность выпуск_карта месяц попробовать оценить преимущество продукт подойти смочь перестать пользоваться услуга оформление карта происходить полностью дистанционно информация внести система направить письмо наш рекомендательный бесплатный сервис образовательный платформа бизнес почта мочь ознакомиться удобно сожаление адрес почта отобразиться оставлять офис_банка удобно продиктовать фиксировать направить записывать диктовать далее далее хороший адрес почта записать начать диалог говорить направить контактный дать хотеть дополнить будущее какой либо вопрос продукт_банка либо заинтересованность продукт_банка звонить большинство подключаться дистанционно посещение офис выбирать уделить добрый свидание,Бизнес-карта,Открытие банковского счета
3275,здравствуйте сбер бизнес удобно выразить заинтересованность услуга оплата код подключить услуга хотеть уточнить э возникнуть вопрос потребность создание повторно заявка готовый помочь говорить февраль пойти офис_банка доступ личный_кабинет восстановить обращаться планировать обратиться уточнить следующий неделя обратиться офис уточнить планировать следующий неделя продублировать контакт восстановить доступ личный_кабинет дистанционно оформить либо офис любой случай сложность возникнуть связаться услуга дистанционно подключать уделить прощаться добрый свидание свидание,Эквайринг,Зарплатные проекты
3280,добрый_день персональный_менеджер сбер бизнес звонить исмаиловый верно вчера разговаривать сказать обращаться правильно расслышать сказать удобно разговаривать неудобно извинить беспокойство перезвонить праздник половина день извинить добрый свидание,Открытие банковского счета,Бизнес-карта
3284,добрый_день максим сбербанк_бизнес_онлайн организация цифровой искусство удобно хотеть уточнить информация поступить информация аквариум наш банк последний снизиться оборот сказать связать какой либо иметься понять информация актуализировать вопрос к какой либо иметься банковский обслуживание либо продукт_банка контакт направить номер личный номер_телефон удобно возникнуть вопрос либо потребоваться оформить услуга_банка обращаться к ваш большой услуга оформлять дистанционно рада помочь большой уделить хороший день свидание,Эквайринг,Открытие банковского счета
3299,здравствуйте персональный_менеджер_сбербанк блок сбер бизнес индивидуальный_предприниматель сказать удобно звонить приложение банк озвучить информировать позволить уточнить причина отказываться важно клиент информировать понять сказать текущий момент какой вопрос к иметься помочь контактный дать направить смс сообщение номер поступить любой мочь обращаться большинство продукт дистанционно подключать экономия отвлекать уделить добрый свидание,Эквайринг,Зарплатные проекты
3332,добрый_день персональный_менеджер_сбербанк блок сбер бизнес удобно повод кредитование видеть сожаление результат предварительный заявка одобрить видеть результат влить личный_кабинет видеть одобрение произойти повторный подача возможно день кредитование какой видимо причина одобрить сказать вопрос услуга продукт банк дополнительный такой случай контакт звонить большинство услуга подключать дистанционно рада помочь сумма маленький видеть результат обоснование давать связь отказ идти сумма деятельность принцип деятельность вести какой просрочка кредит задолженность такой такой брать наш банк банк физлицо раз одобрение месяц попробовать личный_кабинет мочь связаться рассмотреть вариант кредитование добрый свидание,Открытие банковского счета,Зарплатные проекты
3339,поставить заявка добрый_день персональный_менеджер сбер бизнес звонить организация чудак удобно перезвонить удобно очередь звонить цель знакомство э закрепить ваш организация удалённый персональный клиентский_менеджер хотеть направить контакт смс номер поступить работать понедельник пятница московский большинство услуга дистанционно подключать обращаться рада помочь номер указать хотеть мочь предоставить номер перезвонить уделить добрый свидание,Эквайринг,Бизнес-карта
3340,здравствуйте просить прощение звать звонить сбербанк_бизнес звонить организация отношение дать организация просить прощение расслышать понять просить прощение беспокойство информация актуализировать свидание,Зарплатные проекты,Бизнес-карта
3350,добрый_день персональный_менеджер бизнес звонить индивидуальный_предприниматель удобно разговаривать перезвонить отделение минута ваш хотеться обсудить предложение расчётный счёт наш банк информация стать неактивный пользоваться расчётный счёт друг банк насколько удобно работать сбербанк_бизнес закрыть индивидуальный_предприниматель расчётный счёт понять корректный информация расчётный счёт сбербанк понять сказать рассматривать открытие расчётный счёт наш банк измениться условие ведение хотеться терминал наш банк понять терминал наш банк правильно понимать э сбербанк отношение понять сказать рамка деятельность официально трудоустроить сотрудник работать один работать понять э данный момент вопрос позволить направить контактный дать возникнуть вопрос потребоваться открыть открыть расчётный счёт наш банк мочь позвонить резервирование расчётный счёт число происходить дистанционно сэкономить временно посещение отделение открытие расчётный счёт рада помочь благодарить уделить добрый свидание,Зарплатные проекты,Открытие банковского счета
3364,добрый_день персональный_менеджер виктория сбербанк блок сбер бизнес обслуживание корпоративный клиент звонить предприниматель удобно давать перезвонить комфортно течение день удобно завтра перезвонить смс ранее отправлять контакт данный момент вопрос возникнуть обращаться многие продукт услуга_банка помочь подключить дистанционно,Зарплатные проекты,Бизнес-карта
3375,добрый_день персональный_менеджер_сбербанк бизнес удобно подготовительный процесс понять удобно связаться март планировать понять информация отметить контактный дать сохраниться направить смс сообщение номер номер ваш звонок помочь текущий вопрос какой возможно данный момент связаться поздний уделить звонить большинство услуга смочь подключать дистанционно хороший день добрый,Эквайринг,Бизнес-карта
3398,добрый_день персональный_менеджер сбер бизнес удобно разговаривать получиться зайти карта знать зайти мобильный приложение телефон зайти сайт браузер возможно причина логин пароль полный версия увидеть свод код код прислать вести открыться заполнить заявка недоставать запомнить нажать выпустить карта выбрать филиал который который обслуживать указать нажать отправить заявка банк далее заявка обработаться указать карта изготавливаться активный стать верно личный дать вводить пароль полный полный версия широкий функционал смочь заявка сказать течение день смочь попробовать зайти оформить смочь перезвонить уточнить получиться час час разница работать ваш ой наш допо сказать удобный перезвонить либо вечером поехать завтра утром перезвонить близкий вечер добрый свидание,Эквайринг,Бизнес-карта
3401,сбер бизнес сказать прийти смс заявление подписать подтверждение контакт направить номер поступить большинство продукт подключать дистанционно посещать отделение_банка звонить удовольствие нужный благодарить уделить добрый хороший день,Бизнес-карта,Зарплатные проекты
3411,добрый_день менеджер_сбербанк блок сбер бизнес сказать информация следующий неделя перезвонить проверить половина день удобный отлично какой вопрос контакт направлять звонить большинство подключать дистанционно добрый свидание,Эквайринг,Зарплатные проекты
3414,добрый_день речь сбербанк_бизнес удобно звонить хотеть уточнить информация э торговый_эквайринг кредитование перезвонить удобный неудобно подобрать оптимальный индивидуальный_предприниматель звонить удобно э перезвонить удобно следующий перезвонить добрый,Эквайринг,Открытие банковского счета
3424,здравствуйте сбербанк мочь перевести связь прерваться дозвониться удобно подсказать перевести уточнение информация понять ожидать переводить отключаться минута перезвонить уточнить иметь вид отключаться переводить другой линия специалист уточнить минута перезвонить добрый свидание,Эквайринг,Зарплатные проекты
3440,добрый_день персональный_менеджер э сбербанк блок сбер бизнес звонить индивидуальный_предприниматель сказать удобно удобно верно услышать услуга сбер бизнес рекомендовать хотеть рассказать знать возможность звонить понять деятельность вести какой индивидуальный_предприниматель услышать любой случай контакт направить номер дальнейший возможно деятельность возобновить обязательно звонить возникать вопрос потребоваться оформить услуга_банка большинство дистанционно подключать экономить ваш номер смс направить какой вопрос иметься звать зелёный свидание,Бизнес-карта,Зарплатные проекты
3451,здравствуйте персональный_менеджер сбербанк блок сбер бизнес компания говорить удобно звонить предложить вариант оптимизация ваш расход расчётный обслуживание использовать активно счёт открытый наш банк тариф устраивать мочь оптимальный тариф подобрать линейка тариф обновиться ранее друг банк счёт открыть э рассмотреть вариант тариф оптимальный наш банк терминал эквайринг иметь вид безналичный оплата вывернуть списываться счёт уверить денежный_средство терминал списываться обслуживание счёт либо какой либо подключить услуга уверить терминал списываться денежный_средство корректно списание дать терминал корректно зафиксировать информация терминал сдать списывать плата порекомендовать обратиться линия торговый_эквайринг проверить э корректно расторгнуть договор эквайринг линия круглосуточно линия перевести окончание наш разговор информация коллега передать коллега проверить подсказать вопрос готовый номер_телефон озвучить круглосуточный линия удобно самостоятельно обратиться удобный самостоятельно звонить мобильный короткий номер код вводить попасть горячий линия эквайринг коллега подсказать счёт сказать рассмотреть вариант перевести операция линейка тариф обновиться тариф мочь оптимальный подобрать понять контакт телефон продублировать удалённый менеджер закрепить ваш компания услуга дистанционно подключать возникнуть вопрос мочь напрямую обращаться рада помочь эквайринг мочь звонить рабочий к московский мой периметр самостоятельно перевести необходимо удобный либо удобно ожидать оставаться линия переводить добрый свидание здравствуйте управление удалённый продажа линия клиент звать хотеть уточнить э вернуть терминал эквайринг безналичный оплата средство равно списывать счёт терминал мочь проверить расторгнуть договор эквайринг наименование озвучить ровно,Открытие банковского счета,Эквайринг
3469,добрый_день виктория клиентский_менеджер сбер бизнес звонить христов удобно разговаривать завтра течение день перезвонить удобный составить диалог перезвонить благодарить уделить добрый свидание,Открытие банковского счета,Зарплатные проекты
3471,добрый_день сбербанк блок сбер бизнес клиентский_менеджер вера удобно звонить индивидуальный_предприниматель персональный_менеджер предложение хотеть открыть расчётный счёт какой индивидуально индивидуальный_предприниматель наш банк являться индивидуальный_предприниматель обслужить наш банк какой физический_лицо вопрос какой уделить добрый,Зарплатные проекты,Открытие банковского счета
3475,добрый_день персональный_менеджер блок сбер бизнес звонить индивидуальный_предприниматель сказать удобно буквально минута занять ваш хотеть уточнить э э установить торговый_эквайринг сбербанк месяц терминал сбербанк проводить основное сбербанк сказать карта банк проводить терминал другой банк блок сбер сбербанк_бизнес э звонить э физический_лицо звонить индивидуальный_предприниматель мочь зайти сайт сбербанк сбербанк точка просмотреть телефон принадлежать сбербанк подтверждение э персональный клиентский_менеджер отправить контакт короткий номер хотеть уточнить э использовать э терминал э другой банк понять будущее понадобиться помощь установка дополнительный терминал услуга платить юар звонить помочь оплатить рассказать данный услуга ваш помочь э подключить большинство услуга дистанционно сэкономить интересно услуга платить интересно рассказать подробный услуга информация предоставить подробный рассказать услуга слышать свеча плохо слышать банкомат смотреть юар код рассказать бесконтактный приём плата покупатель терминал оплата юар код возможность принимать платёж физический_лицо зависимость наличие терминал удобно принимать плата оплата карта_сбербанк банк кафе такси магазин курьерский ставка комиссия составлять э целый э целый процент вскрыть платёж плата обслуживание рассказать работать плохо слышать перезвонить,Зарплатные проекты,Эквайринг
3503,здравствуйте звать персональный_менеджер_сбербанк блок сбер бизнес звонить предприниматель удобно разговаривать просить прощение звонить данный момент отношение предприниматель информация актуализировать благодарить уделить добрый,Зарплатные проекты,Бизнес-карта
3513,добрый_день сбербанк персональный_менеджер звонить индивидуальный_предприниматель удобно звонить уточнить онлайн касса связаться специалист отлично связываться отлично дальнейший вопрос контакт направлять обязательно обращаться рада помочь прислать давать контакт направлять давать режим диалог направить посмотреть смс телефон прийти смс сообщение какой уведомление появиться контактный направить обязательно хороший день свидание,Открытие банковского счета,Бизнес-карта
3527,добрый_день менеджер_сбербанк сбер бизнес индивидуальный_предприниматель удобно пробовать направить письмо информация письмо возвращаться почта который актуализировать сказать почтовый ящик который направить информация ярмо слышать буква далее точка валера далее направить информация обед попробовать перезвонить разница договориться большой добрый хороший день,Зарплатные проекты,Открытие банковского счета
3528,добрый_день звать сбер бизнес персональный_менеджер индивидуальный_предприниматель удобно хотеть уточнить взять получиться понять близкий подключить указать информация подключить близкий хороший день вопрос продукт услуга хороший день свидание,Бизнес-карта,Зарплатные проекты
3550,здравствуйте персональный менеджер звонить поинтересоваться получиться перевести сотрудник объяснить суть обращение проблема дать подтягиваться дать подтягиваться автоматически зачастую получаться система указать паспортный дать правильно понимать пропускать система обращение оставлять повод списать готовый вопрос остаться готовый контактный интересовать информация комиссия долг прийти ввести дать требование судебный пристав необходимо обратиться судебный пристав любой случай необходимо уточнять выставить счёт оплата данный контактный дать обращаться рада сотрудничество информировать услуга оформляться дистанционно добрый свидание,Открытие банковского счета,Бизнес-карта
3551,добрый_день звать сбербанк блок сбер бизнес обслуживание действие лицо ранее общаться удобно февраль общаться повод эквайринг сказать смочь подключить услуга сказать оформить сила планировать оформить сказать такой случай вопрос большой данный добрый свидание,Эквайринг,Зарплатные проекты
3559,добрый_день сбербанк блок сбер бизнес звонить индивидуальный_предприниматель удобно ваш организация предложение наверняка знать сбер активно развивать множество сервис полезно развитие бизнес звонить предложить ваш открыть расчётный счёт бесплатный обслуживание доступ к существующий будущее сервис личный_кабинет смочь оформить сбер бизнес сказать какой сумма старт протяжение бесплатный либо самостоятельно сменить тариф либо открыть расчётный счёт сбербанк рассказать дать тариф открытие ведение заново счёт бесплатно бесплатный счёт давать сказать входить включить платёж месяц сторонний банк неограниченный количество платёжный поручение счёт сбербанк индивидуальный_предприниматель перевод средство счёт физический_лицо месяц комиссия операция заключить объём оплачивать дополнительно мочь подключиться зарплатный_проект лично переводить комиссия наличный карта быстро зачисление зарплата являться налоговый отчитываться пакет включить моментальный бизнес карта карта привязать напрямую новый полезть услуга юрист бизнес сервис подбор персонал работать открытие счёт бесплатный ежемесячный плата отсутствовать дать слышать получаться комиссия зарплатный_проект сказать старт перевод карта_физический_лицо процент целый процент свыше пусть процент информировать полностью комиссия работа юридический_лицо перезвонить возможно уточнить решение понедельник удобно вторник вечером удобный позвонить просить прощение среда среда вечером час давать тариф направо смс глаз мочь внимательный старт среда перезвонить хороший день добрый свидание,Зарплатные проекты,Открытие банковского счета
3578,добрый_день персональный_менеджер_сбербанк бизнес звонить организация инженерия удобно понять хотеть уточнить оставить неактивный пользоваться расчётный счёт какой вопрос устраивать друг банк удобно хотеть предложить подобрать пакет_услуга операция перевести сбербанк уверить выгодный оплачиваться ведение счёт банк измениться тариф хотеть предложить новый условие ведение счёт актуально хотеть сравнить хотеть сравнить условие выгодный тариф ведение счёт рассматривать тариф июль месяц новый тариф иметься поведение контактный дать направить номер тариф ссылка прийти пройти просмотреть тариф устроить связаться рада помочь переход наоборот тариф какой вопрос связываться рада помочь добрый,Зарплатные проекты,Открытие банковского счета
3584,добрый_день здравствуйте менеджер_сбербанк блок сбер бизнес звонить общество ограниченный ответственность группа чебоксары удобно поговорить подсказать завтра какой перезвонить обед обязательно связаться добрый свидание,Зарплатные проекты,Бизнес-карта
